UF,Estado,Casos_entre_nascidos,Espinha bífida,Outras malformações congênitas do sistema nervoso,Malformações congênitas do aparelho circulatório,Fenda labial e fenda palatina,Ausência atresia e estenose do intestino delgado,Outras malformações congênitas do aparelho digestivo,Testiculo não-descido,Outras malformações do aparelho geniturinário,Deformidades congênitas do quadril,Deformidades congênitas dos pés,Outras malformações e deformidades congênitas do aparelho osteomuscular,Outras malformações congênitas,Anomalias cromossômicas não classificadas em outra parte
AC,Acre,0.009094068582020389,0.01737720111214087,0.0984708063021316,0.05213160333642261,0.04633920296570899,0.0,0.02896200185356812,0.01737720111214087,0.07530120481927711,0.01737720111214087,0.1274328081556997,0.28382761816496754,0.21431881371640407,0.0984708063021316
AL,Alagoas,0.00763402815168064,0.02499807707099454,0.05768787016383355,0.038458580109222366,0.06537958618567802,0.0,0.0423044381201446,0.015383432043688947,0.08845473425121145,0.0019229290054611184,0.1365279593877394,0.28459349280824553,0.0846088762402892,0.044227367125605724
AM,Amazonas,0.004656021874274512,0.018056594526272344,0.051590270075063845,0.010318054015012769,0.052880026826940436,0.0,0.037402945804421286,0.0038692702556297883,0.037402945804421286,0.0025795135037531922,0.07222637810508938,0.14187324270642557,0.08641370237573194,0.01676683777439575
AP,Amapá,0.01548165137614679,0.028669724770642203,0.09174311926605505,0.017201834862385322,0.06307339449541284,0.0,0.9461009174311926,0.005733944954128441,0.034403669724770644,0.0,0.10321100917431193,0.22935779816513763,0.09747706422018348,0.06307339449541284
BA,Bahia,0.007079785246514189,0.013274597337214105,0.06932289720545143,0.02654919467442821,0.042282050777793075,0.000491651753230152,0.0245825876615076,0.008358079804912584,0.06293142441345946,0.004424865779071368,0.10226356467187162,0.3043324352494641,0.11553816200908572,0.02605754292119806
CE,Ceará,0.009586437585525315,0.03573057625057017,0.09958947848563175,0.06537935228827733,0.059297552075414324,0.003040900106431504,0.04789417667629618,0.04257260149004105,0.11327352896457352,0.005321575186255131,0.19157670670518473,0.2523947088338148,0.15964725558765394,0.04637372662308043
DF,Distrito Federal,0.006724101702038243,0.007004272606289837,0.038523499334594105,0.06303845345660854,0.050780976395601314,0.0017510681515724592,0.05253204454717378,0.010506408909434755,0.06303845345660854,0.0035021363031449183,0.08405127127547804,0.26791342719058625,0.1155704980037823,0.03677243118302164
ES,Espírito Santo,0.007952145126648562,0.044375809858529916,0.11537710563217779,0.09407671690008343,0.06212613380194189,0.0017750323943411968,0.0532509718302359,0.014200259154729574,0.09585174929442462,0.0,0.06212613380194189,0.25027956760210873,0.12425226760388378,0.10295187887178942
GO,Goiás,0.008047290822393867,0.017318416404004017,0.08081927655201875,0.04733700483761098,0.07389190999041714,0.0034636832808008036,0.04271876046320991,0.02655490515280616,0.08428295983281955,0.006927366561601607,0.13392908685763108,0.2701672959024627,0.10506505951762438,0.050800688118411784
MA,Maranhão,0.0037340002431442017,0.01910418729050522,0.057312561871515656,0.006946977196547352,0.0321297695340315,0.0,0.028656280935757828,0.0,0.03734000243144202,0.0,0.07815349346115771,0.1137567515934629,0.04862884037583147,0.00781534934611577
MG,Minas Gerais,0.007355540603724527,0.028129716003907748,0.056259432007815496,0.08666993579582388,0.047896543466113196,0.004181444270851152,0.03953365492441089,0.008743019839052409,0.06766337092831864,0.002660919081450733,0.10871755104212995,0.2980229371224821,0.09959439990572744,0.05245811903431445
MS,Mato Grosso do Sul,0.006534603696849224,0.027417917609157585,0.05255100875088537,0.03655722347887678,0.05483583521831517,0.0022848264674297986,0.03884204994630658,0.006854479402289396,0.05483583521831517,0.0022848264674297986,0.11652614983891973,0.27874882902643544,0.12338062924120913,0.022848264674297986
MT,Mato Grosso,0.006200040992006559,0.01878800300608048,0.06832001093120176,0.035868005738880916,0.04953200792512127,0.0017080002732800437,0.040992006558721046,0.011956001912960305,0.05978000956480153,0.0034160005465600873,0.09906401585024253,0.2305800368928059,0.10589601694336272,0.04440800710528114
PA,Pará,0.005170608568437056,0.021514321366589692,0.08462299737525279,0.020080033275483713,0.054502947462027225,0.0021514321366589693,0.03155433800433155,0.002868576182211959,0.04374578677873238,0.0007171440455529897,0.09036014973967671,0.16279169834052867,0.06669439623642805,0.025100041594354642
PB,Paraíba,0.008237369366970644,0.0299540704253478,0.07821340611063037,0.0449311056380217,0.05325168075617387,0.0016641150236304334,0.06323637089795647,0.0349464154962391,0.10650336151234774,0.003328230047260867,0.149770352126739,0.20135791785928242,0.18638088264660854,0.05325168075617387
PE,Pernambuco,0.009363066943771259,0.03955212610656062,0.07478947481967826,0.05105819915574189,0.07910425221312124,0.0021573886967214883,0.04458603306557742,0.02588866436065786,0.14238765398361822,0.0014382591311476588,0.1316007105000108,0.3250465636393709,0.1438259131147659,0.04170951480328211
PI,Piauí,0.007828050834481702,0.005741846577859439,0.06890215893431327,0.04210687490430256,0.05550451691930792,0.0019139488592864798,0.06316031235645383,0.011483693155718878,0.06507426121574031,0.007655795437145919,0.15885775532077784,0.23541570969223702,0.19522278364722095,0.0191394885928648
PR,Paraná,0.007098644920532303,0.02368348620916999,0.07617121240246565,0.0940938506148105,0.07873158928994348,0.002560376887477837,0.04288631286525377,0.003840565331216755,0.05568819730264295,0.0012801884437389185,0.10561554660846076,0.2086707163294437,0.101774981277244,0.0736108355149878
RJ,Rio de Janeiro,0.0070885961132905505,0.02675797637134629,0.05487652781242205,0.05623710288215152,0.04399192725458627,0.0018141000929726297,0.032200276650264176,0.014966325767024195,0.07664572892809361,0.0013605750697294723,0.08571622939295676,0.2807319893875145,0.1129277307875462,0.04217782716161364
RN,Rio Grande do Norte,0.008141279990131782,0.02878230299541539,0.05756460599083078,0.032894060566189015,0.047285212063896714,0.004111757570773627,0.05139696963467034,0.014391151497707696,0.09868218169856706,0.006167636356160441,0.16858206040171872,0.298102423881088,0.11924096955243518,0.05550872720544397
RO,Rondônia,0.008329477093937991,0.03559605595699997,0.06407290072259994,0.02135763357419998,0.11034777346669988,0.0,0.049834478339799954,0.017798027978499983,0.07119211191399993,0.0071192111913999925,0.11034777346669988,0.33816253159149967,0.15662264621079985,0.06051329512689994
RR,Roraima,0.005858054825384904,0.007510326699211416,0.06759294029290275,0.007510326699211416,0.060082613593691325,0.0,0.022530980097634247,0.007510326699211416,0.030041306796845663,0.007510326699211416,0.060082613593691325,0.19526849417949682,0.10514457378895982,0.030041306796845663
RS,Rio Grande do Sul,0.009760660326164567,0.03498700482677863,0.05426555850684032,0.15637049096050037,0.07782823522691572,0.0028560820266758063,0.050695455973495555,0.017136492160054837,0.09710678890697741,0.004284123040013709,0.12352554765372861,0.2620455259475052,0.1635106960271899,0.08282637877359837
SC,Santa Catarina,0.007787112027767997,0.027164344282911614,0.06539564364404649,0.09356607475225112,0.08551738014990694,0.0030182604758790684,0.05533477539111625,0.023139996981739522,0.08752955380049299,0.006036520951758137,0.1016147693545953,0.21027214648624176,0.11670607173399064,0.06941999094521857
SE,Sergipe,0.011817797207728105,0.04512762656889014,0.09025525313778028,0.04512762656889014,0.09589620645889155,0.0,0.059230009871668314,0.04230714990833451,0.16922859963333803,0.0028204766605556338,0.19461288957833875,0.39486673247778875,0.24538146946834016,0.059230009871668314
SP,São Paulo,0.013890031627343665,0.03307542183504415,0.0997199285175958,0.2963623618154951,0.07997340801906197,0.007075836511974619,0.12407397046578751,0.03883482364711652,0.1359218827649078,0.03389819352248306,0.13164346999022547,0.3595512274108033,0.22971785513294346,0.0778342016317208
TO,Tocantins,0.007818138080346404,0.012027904738994467,0.04811161895597787,0.10424184107128538,0.056130222115307514,0.008018603159329644,0.044102317376313045,0.012027904738994467,0.09221393633229091,0.004009301579664822,0.09622323791195574,0.3488092374308395,0.13631625370860395,0.0360837142169834
