"";"qtd_miss";"percent_missing"
"ORIGEM";0;0
"CODESTAB";53786;0,96
"CODMUNNASC";0;0
"LOCNASC";0;0
"IDADEMAE";69;0
"ESTCIVMAE";0;0
"ESCMAE";0;0
"CODOCUPMAE";434482;7,79
"QTDFILVIVO";133541;2,39
"QTDFILMORT";208993;3,75
"CODMUNRES";0;0
"GESTACAO";0;0
"GRAVIDEZ";0;0
"PARTO";0;0
"CONSULTAS";0;0
"DTNASC";0;0
"HORANASC";4872;0,09
"SEXO";0;0
"APGAR1";85150;1,53
"APGAR5";86058;1,54
"RACACOR";0;0
"PESO";1383;0,02
"IDANOMAL";0;0
"DTCADASTRO";0;0
"CODANOMAL";0;0
"NUMEROLOTE";5791;0,1
"VERSAOSIST";0;0
"DTRECEBIM";16683;0,3
"DIFDATA";0;0
"DTRECORIGA";5579291;100
"NATURALMAE";105277;1,89
"CODMUNNATU";105281;1,89
"CODUFNATU";104281;1,87
"ESCMAE2010";76932;1,38
"SERIESCMAE";1966811;35,25
"DTNASCMAE";58310;1,05
"RACACORMAE";191305;3,43
"QTDGESTANT";154964;2,78
"QTDPARTNOR";203734;3,65
"QTDPARTCES";229088;4,11
"IDADEPAI";3511729;62,94
"DTULTMENST";2753172;49,35
"SEMAGESTAC";72431;1,3
"TPMETESTIM";72431;1,3
"CONSPRENAT";103556;1,86
"MESPRENAT";138917;2,49
"TPAPRESENT";63639;1,14
"STTRABPART";85574;1,53
"STCESPARTO";77932;1,4
"TPNASCASSI";54303;0,97
"TPFUNCRESP";199479;3,58
"TPDOCRESP";48176;0,86
"DTDECLARAC";89421;1,6
"ESCMAEAGR1";76932;1,38
"STDNEPIDEM";383;0,01
"STDNNOVA";0;0
"CODPAISRES";24;0
"TPROBSON";0;0
"PARIDADE";0;0
"KOTELCHUCK";0;0
"CONTADOR";0;0
"def_sexo";0;0
"def_raca_cor";0;0
"def_est_civil";0;0
"def_loc_nasc";0;0
"def_escol_mae";0;0
"def_gravidez";0;0
"def_gestacao";0;0
"def_parto";0;0
"def_consultas";0;0
"def_anomalia";0;0
"nasc_MUNNOME";0;0
"nasc_MUNNOMEX";0;0
"nasc_AMAZONIA";0;0
"nasc_FRONTEIRA";0;0
"nasc_CAPITAL";0;0
"nasc_MSAUDCOD";0;0
"nasc_RSAUDCOD";0;0
"nasc_CSAUDCOD";0;0
"nasc_ANOEXT";5579291;100
"nasc_SUCESSOR";5579291;100
"nasc_LATITUDE";3;0
"nasc_LONGITUDE";3;0
"nasc_ALTITUDE";3;0
"nasc_AREA";3;0
"nasc_codigo_adotado";0;0
"res_MUNNOME";0;0
"res_MUNNOMEX";0;0
"res_AMAZONIA";0;0
"res_FRONTEIRA";0;0
"res_CAPITAL";0;0
"res_MSAUDCOD";0;0
"res_RSAUDCOD";0;0
"res_CSAUDCOD";0;0
"res_ANOEXT";5579291;100
"res_SUCESSOR";5579291;100
"res_LATITUDE";577;0,01
"res_LONGITUDE";577;0,01
"res_ALTITUDE";577;0,01
"res_AREA";577;0,01
"res_codigo_adotado";0;0
"nasc_SIGLA_UF";0;0
"nasc_CODIGO_UF";0;0
"nasc_NOME_UF";0;0
"res_SIGLA_UF";0;0
"res_CODIGO_UF";0;0
"res_NOME_UF";0;0
"nasc_REGIAO";0;0
"res_REGIAO";0;0
"data_nasc";0;0
"dia_semana_nasc";0;0
"ano_nasc";0;0
"parto_prematuro";1383;0,02
"def_parto_prematuro";0;0
"codanomal_capitulo";0;0
"codanomal_grupo";0;0
"codanomal_categoria";0;0
"codanomal_subcategoria";0;0
"nasc_coordenadas";0;0
"res_coordenadas";0;0
